Title,Note,URL,Tags,Comment
Olde Brooklyn Bagel Shoppe,,https://www.google.com/maps/place/Olde+Brooklyn+Bagel+Shoppe/data=!4m2!3m1!1s0x89c25ba660b88115:0xe5c1481fef08b8aa,🥓 Brunch,
Bagel Pub,,https://www.google.com/maps/place/Bagel+Pub/data=!4m2!3m1!1s0x89c25b757da7b719:0x112af96e9e2c5f84,🥓 Brunch,
159 Boerum St,,https://www.google.com/maps/place/159+Boerum+St/data=!4m2!3m1!1s0x89c25bfc222c91b9:0xccb838c6f0ff6a7e,🏠 🏠,
Birch Coffee,,https://www.google.com/maps/place/Birch+Coffee/data=!4m2!3m1!1s0x89c259085ff6dad7:0x5e9d363c75b8d4bb,☕️ Cafe,
Bar Laika by e-flux,,https://www.google.com/maps/place/Bar+Laika+by+e-flux/data=!4m2!3m1!1s0x89c25b0e9803c177:0x822cde1515f3eab3,,
e-flux,,https://www.google.com/maps/place/e-flux/data=!4m2!3m1!1s0x89c25bd54900a561:0xd452bba5e7b1e030,,
Dino,,https://www.google.com/maps/place/Dino/data=!4m2!3m1!1s0x89c25b803fdda059:0x2210f59d89a57a77,🍽️ Restaurant,
KIJITORA,,https://www.google.com/maps/place/KIJITORA/data=!4m2!3m1!1s0x89c259c0b0c6d663:0xebc5aa8e1ad4a925,☕️ Cafe,
Still Here,,https://www.google.com/maps/place/Still+Here/data=!4m2!3m1!1s0x89c259e2ad1f4d27:0x7029bda7275bf00a,🛍️ Shopping,
Caffe Paradiso,,https://www.google.com/maps/place/Caffe+Paradiso/data=!4m2!3m1!1s0x89c2590052381d25:0x3214117350af8674,☕️ Cafe,
Lil' Frankie's Grocery,,https://www.google.com/maps/place/Lil'+Frankie's+Grocery/data=!4m2!3m1!1s0x89c259db33078575:0xe3c26e3e379ad68e,🍽️ Restaurant,
Balthazar,,https://www.google.com/maps/place/Balthazar/data=!4m2!3m1!1s0x89c259892cccb7b7:0xbf8343b3f54c1b09,🍽️ Restaurant,
